pkl,book_slug,source_lang,metric,metric_label,n_chunks,mean_ht_score,mean_mt_score,sd_ht_score,sd_mt_score,mean_preference_delta,median_preference_delta
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,litransproqa,LitTransProQA,28,0.9845388788426763,1.0,0.05246691049467441,0.0,-0.015461121157323692,0.0
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,metricx-qe,MetricX-QE,28,7.862408535821097,7.669497353690011,1.1242497801407878,1.0597551570718655,-0.19291118213108607,-0.20623779296875
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),28,0.6895857413419914,0.7132005465367965,0.08478391387904881,0.0934784052200434,-0.023614805194805195,-0.01341250000000005
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),28,5.796555579578689,5.5085978271923475,1.3114605566868194,1.195914486115177,-0.28795775238634186,-0.407181978225708
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,litransproqa,LitTransProQA,24,0.5560917721518986,1.0,0.27599107073423357,0.0,-0.4439082278481013,-0.48860759493670886
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,metricx-qe,MetricX-QE,24,9.131087919076284,8.649716873963675,2.0400532037606434,1.2839327637776627,-0.48137104511260986,-0.8373501300811768
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),22,0.7096745196848606,0.7858344162781663,0.06810583571950862,0.03586173284579229,-0.07615989659330567,-0.057469999999999966
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),24,6.397096334885312,5.496357624810819,2.1805206278402363,1.6830773642963748,-0.9007387100744931,-1.2102199867367744
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,litransproqa,LitTransProQA,23,0.9886075949367089,0.9581177765547606,0.041980857429271996,0.15794216467120334,0.030489818381948273,0.0
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,metricx-qe,MetricX-QE,23,10.203536634859832,10.127101877461309,1.1125948183560335,1.5403282900347337,-0.07643475739852242,0.001708984375
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),23,0.6742018045722393,0.6842551082854343,0.04244238046757229,0.04145490175613969,-0.01005330371319503,-0.006250000000000089
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),23,6.793050199025396,6.732017580483822,0.9344078413886516,1.1116021648544605,-0.06103261854157388,-0.005145284864637389
watching_over_her_fr_en,watching_over_her,fr,litransproqa,LitTransProQA,28,0.9610759493670885,0.9970388788426764,0.09505844671693894,0.015668780368420496,-0.03596292947558772,0.0
watching_over_her_fr_en,watching_over_her,fr,metricx-qe,MetricX-QE,28,8.650108831269401,8.638060688972473,1.679503375828371,1.5569268806352787,-0.012048142296927316,-0.06843042373657227
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),28,0.7441476828231293,0.764314162414966,0.06062688734781658,0.07096734927112462,-0.020166479591836737,-0.022283333333333377
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),28,5.757255037828367,5.990840168500028,1.1762518004655929,1.3813483190543439,0.23358513067166023,0.029813803519521898
